
Details of users in a tabular form

User ID		Account ID	Display Name
417562		182678		lonesomeday
2422776		2818342		Mureinik
126014		43160		Mark Seemann
126042		43171		Mark Rushakoff
113962		39506		Alasdair
2069064		2362723		Barry
13		9		Chris Jester-Young
87015		31629		Salman A
325565		128012		Joe Kington
125816		43105		Sergio Tulentsev
961113		931267		Habib
1197518		1233392		Steve
229044		81168		meagar
201359		69149		&#211;scar L&#243;pez
324584		127435		Mark Baker
2380830		2764833		Bathsheba
704848		735810		EdChum
14122		8002		Charles Duffy
841108		447475		Basile Starynkevitch
541136		258754		Aaron Hall
458193		207994		Dan Abramov
1159478		1185389		Servy
846892		451158		Ashwini Chaudhary
253056		92315		Paul R
36723		16719		bdonlan
1386886		116298		jAndy
126769		43373		nos
116908		40342		Carl Norum
41071		18071		svick
36565		16669		David Rodr&#237;guez - dribeas
116		97		Mark Harrison
1705598		1886487		icza
76217		28507		dtb
244296		88286		Cristian
1560062		97791		zero323
1983854		2251762		fedorqui
707111		363391		Ry-
7552		4879		glenn jackman
206403		71329		Rocket Hazmat
2711488		3211603		Holger
8206		5176		Eli Bendersky
434551		193060		R Sahu
1679863		1853886		Rohit Jain
56338		22723		sth
616443		305983		j08691
140719		47491		sbi
949476		916860		dfsq
635608		318397		Mat
1903116		1219964		thefourtheye
452307		204230		Alok Save
252000		91845		fredoverflow
41661		18251		Norman Ramsey
615		473		Matt Hamilton
674039		342731		wim
17516		9467		AnthonyWJones
1427416		1530005		BrenBarn
46642		19779		R. Martinho Fernandes
1011995		996105		Daniel Fischer
19679		10416		Brad Larson
575376		279943		juergen d
1529630		1661400		Oriol
367456		152743		hakre
137350		46469		Vladimir
1030675		1020072		choroba
2336654		2707337		piRSquared
3293881		3996536		Divakar
3560		2550		John Millikin
155423		879267		Shepmaster
379897		160089		R..
654031		330111		Chris Pratt
5486		3774		Ryan Lundy
2680216		3171311		Josh Crozier
13531		7745		Michael Myers
3171		2288		Dave Webb
25646		12903		bbum
87189		31679		tadman
2357112		2734060		user2357112
43089		18698		Triptych
75525		28301		Fenton
1566221		1707439		rici
825568		437729		Joseph Silber
17160		9315		nosklo
1199		914		Blair Conrad
82294		30228		Dietrich Epp
20713		10864		ephemient
2970947		3557625		Elliott Frisch
135589		45934		Jesper
1270695		1325902		A5C1D2H2I1M1N2O1R2T1
3597276		4415543		Michael_B
14104		7991		epascarello
4323		3057		John Zwinck
418556		183279		Andrew Thompson
320615		125080		Dogbert
112968		39208		knittl
2587435		3013228		Paul Samsotha
1084437		1089467		Jukka K. Korpela
5044042		6519311		vadian
128165		43788		Gabriele Petrioli
516548		244009		G. Grothendieck
47738		20122		rahul
1707091		1888343		rgettman
989121		965649		georg
454533		205662		Explosion Pills
247533		89797		Rex Kerr
193688		65923		Chris Johnsen
67579		26078		Willem Van Onsem
23528		12046		Daniel A. White
328193		129540		David
82187		30194		Adam Robinson
102937		36137		Robert Harvey
582		455		Lily Ballard
270591		100362		Slauma
149341		50108		duskwuff
76337		28542		John Saunders
1103872		1114067		Marko Topolnik
869736		465573		Louis Wasserman
40521		17899		Shyju
714501		367982		cnicutar
123527		42403		Simone Carletti
1873365		360090		Thierry Templier
505154		237172		Andrew Clark
33732		15786		Rob Kennedy
164835		55050		Kent
5380		3706		Kent Boogaart
1338292		1411857		Ja͢ck
9990		6040		Marcelo Cantos
122718		42143		usr
895245		481416		Ciro Santilli 新疆改造中心 六四事件 法轮功
1630171		1436014		Ansgar Wiechers
153982		51529		Keith Hill
152948		51201		hobbs
20654		10836		OscarRyz
576911		280919		Howard Hinnant
477878		220462		Joachim Isaksson
3297613		3438751		Avinash Raj
1902010		1705		ceejayoz
2189127		2518243		James_D
871026		794766		Reimeus
95706		34021		Dan Moulding
3333		2397		Paul Tomblin
352765		144015		Spudley
438992		195854		Dave Newton
246342		89244		Alex K.
145190		48823		meder omuraliev
271616		100841		Joshua Ulrich
390330		166301		basarat
634824		317896		Matt Johnson
338665		135652		ircmaxell
1175966		1206451		charlietfl
40347		17837		Dirk Vollmar
572644		278193		Daniel Hilgarth
314488		121415		Pranay Rana
790695		415723		James Allardice
893780		796162		robertklep
721269		372293		David Schwartz
92315		33084		Fabien M&#233;nager
572670		278210		amit
602276		296999		Andrie
429846		190102		Gavin Simpson
4124317		5149286		ImportanceOfBeingErnest
11654		6852		CL.
39430		17566		RedFilter
17172		9320		coobird
1001643		982175		Raymond Hettinger
128421		43866		the Tin Man
2303865		2665245		Leo Dabus
324364		127300		joran
220819		77343		Jacob Relkin
521799		247217		Lukas Eder
48082		20213		Cheeso
4909087		6321039		coldspeed
67606		26091		Pablo Santa Cruz
190277		64461		Ben Bolker
329769		130472		BrokenGlass
15416		8519		MSalters
2141635		2456564		Padraic Cunningham
419970		184122		Raynos
45375		19375		mklement0
762073		397763		xdazz
462627		210807		Praveen Kumar Purushothaman
58808		23460		Ionuț G. Stan
813602		430261		Ingo Karkat
6509		4358		tim_yates
1782465		1980316		Angew
524368		248772		datenwolf
266304		98359		Alex Poole
62082		24421		Michelle Tilley
144424		48586		Adriaan Stander
93623		33439		Fredrik M&#246;rk
50476		20937		Bart Kiers
825		631		Pat Notz
140750		47502		William Pursell
113570		39392		Philippe Leybaert
497418		232525		zzzzBov
240443		86477		Amadan
314166		121224		sawa
981959		956801		Jonathan Wakely
4883		3385		Readonly
383861		162425		Blaise Doughan
243782		88036		Pentium10
89391		32277		miku
449449		202404		eumiro
224132		78868		Peter Cordes
48015		20189		Christoph
649665		327343		James Kanze
811		620		Shog9
501696		235103		Blackbelt
546861		262175		romainl
416467		182043		kindall
394487		168805		siride
4668		3253		Alan Storm
980833		955440		Josh O&#39;Brien
541686		259071		Mehrdad
1501794		1626304		Rahul Tripathi
83805		30694		Don Stewart
264697		97618		Steven
383904		162448		Roko C. Buljan
1204143		1241689		nneonneo
15055		8372		Claudiu
993547		970966		Patrick Hofman
5459839		7142980		trincot
1210329		1249654		geocodezip
978917		953149		ruakh
4725		3282		Tom Hawtin - tackline
1708801		1637842		Shafik Yaghmour
1298762		1361483		Adil
1120273		1135055		Dietmar K&#252;hl
4983450		6429765		Psidom
166339		55539		Asaph
116862		40325		Ole Begemann
50617		20975		Employed Russian
813		622		Jeremy Ruten
345031		139435		mario
98117		34703		hammar
65387		25438		mpen
851273		453984		Jon Lin
848164		451984		undefined
1081897		1086250		D Stanley
1749403		1943836		Sajeetharan
790387		415531		Burhan Khalid
464581		212018		Cheers and hth. - Alf
91299		32807		RRUZ
615754		305540		nnnnnn
87698		31816		Heinzi
298661		113401		Puppy
5741205		7565400		MaxU
872395		467192		nemesv
140740		47499		DigitalRoss
2372064		2753188		MrFlick
2648		1921		D&#243;nal
13627		7784		driis
1119701		1134300		ouah
1694		1273		Eli Courtwright
57428		23033		sharptooth
546730		262097		H.B.
12597		7281		Ian Boyd
142162		47921		Tim Cooper
12870		7412		Oli
67		55		Rex M
141172		47622		Eric J.
152602		51103		Lee
745		579		dbr
425275		187317		Šime Vidas
146325		49167		APC
622310		309711		Borodin
19750		10450		Josh Lee
995876		973998		Esailija
259038		95021		Josh David Miller
7714		4957		Craig Stuntz
1542290		1677009		Mr. Alien
85785		31281		mythz
147356		49492		larsks
1715579		1899397		p.s.w.g
653856		330005		Raghunandan
1668533		1838666		Satpal
309308		118337		Michael Mrozek
165737		55352		Anurag
2684539		3176925		Jarod42
5233410		6799630		Nkosi
871050		466356		Madara Uchiha
91		75		Michael Stum
464988		212263		MByD
8747		5436		Robᵩ
334519		133275		Travis Brown
1140579		1161105		Siddharth Rout
52738		21633		gnovice
101361		35743		laalto
569436		276160		Mikael Eriksson
1090562		1097219		Salvador Dali
7964527		10829702		Wen-Ben
362536		149787		Brad
1870803		2103982		Yuval Itzchakov
97160		34382		Amro
901925		485561		hpaulj
135978		46065		Sean Vieira
59303		23619		ChrisF
500584		234440		agf
1202025		1238981		ρяσѕρєя K
1965		1472		FlySwat
1057		809		Harley Holcombe
2688		1955		bdukes
772035		403973		Paulpro
1109		846		Theo
567292		274825		ecatmur
44389		19078		Noldorin
642706		322981		Basil Bourque
14637		8198		Thomas
716216		369056		Mick MacCallum
2435473		2834642		Pankaj Parkar
32632		15446		Charles Bretana
321697		125727		kcoppock
6819		4511		Darrel Miller
561731		271284		Neal
1418796		1518373		pkozlowski.opensource
514749		242908		pimvdb
1988185		2257258		Wain
65696		25542		SingleNegationElimination
126214		43211		Lennart Regebro
1009603		992844		PSL
252228		91947		Martin Honnen
1249581		1299340		VisioN
1228		936		Will
741747		384920		The Alpha
740		574		SQLMenace
1155209		1180113		jewelsea
266795		98601		Peter Lyons
594420		291959		RP Niemeyer
69545		26645		Rainer Joswig
341251		137214		Joe Stefanelli
1745001		1938048		Ed Morton
24545		12462		Yuval Adam
415448		529122		Michael Kay
584518		285695		Lundin
4249		3001		matt b
501250		234840		cdhowie
153285		51309		Potatoswatter
2173917		2497975		Sourav Ghosh
42346		18469		bernie
121747		41850		Jack
1919155		2166051		Mats Petersson
643383		323395		Caleb
2555451		3012257		iCodez
601179		296299		gdoron
2319407		2684795		Dmitry Bychenko
266143		98281		CodeCaster
783119		410966		LazyOne
1163867		1191103		MarcinJuraszek
9204		5645		Alexey Romanov
120955		41594		StriplingWarrior
171318		57200		hek2mgl
18747		10016		Tony Andrews
2598		1885		jjnguy
7586		4895		Kobi
497356		232483		Andrew Whitaker
424300		186722		Dylan Markow
2016562		2294849		Gabriele Mariotti
89771		32371		Alix Axel
62576		24564		Ken White
16853		9178		oxbow_lakes
133802		45406		David Hedlund
100754		35556		Sinan &#220;n&#252;r
44330		19061		Jason S
2756719		3274163		T.C.
135531		45914		AdaTheDev
114066		39531		Janusz
56778		22848		Jim Mischel
4604579		5843921		Val
1679310		1853233		Radim K&#246;hler
223386		78500		hsz
13508		7738		&#193;lvaro Gonz&#225;lez
2147		1603		Jason Baker
852828		454932		jrturton
1831293		2052678		Evgeniy Dorofeev
465183		212394		Gilles Quenot
19299		10266		Brian
5202563		6753168		Ivan Stoev
1505939		1631513		M.M
459897		209065		Dr.Molle
6068		4105		pupeno
62076		24418		Alex Wayne
96656		34258		Mathias Bynens
244128		88204		maerics
492405		229440		vcsjones
1676363		1849514		ianhanniballake
348785		141612		kev
299924		113969		trojanfoe
6451573		8614021		Jean-Fran&#231;ois Fabre
1927832		2177522		Suresh Atta
38360		17239		Aaronaught
592139		701757		Ian Roberts
201952		69416		josh3736
785065		412152		loganfsmyth
714968		368268		mKorbel
500104		234137		Xeo
1831		1373		Russ Cam
23501		12037		Ates Goral
47529		20051		chaos
90848		32681		Laurence Gonsalves
301832		114848		Donal Fellows
1033896		1024230		hmjd
350087		142393		apneadiving
200291		68692		icktoofay
13070		7501		Mark B
91671		32913		LBushkin
957768		927229		rickster
791604		416300		Daniel Wagner
1053		806		Ed S.
1695		1274		Gishu
1012053		996187		dbenham
51816		21350		Joan Venge
2766176		5473		brian d foy
1357341		1435980		arshajii
63756		24945		womp
214671		74769		Matteo Italia
13552		7754		Greg Beech
1687119		1839599		dbush
421223		184881		KingCrunch
9209546		12672477		jpp
41116		18087		Abizern
123109		42267		Greg Bacon
5485167		7181370		yurzui
817643		432714		StoryTeller
2140		1597		Barry Wark
1412059		1509604		Roland
13087		7507		Joe
1704166		1285973		Ryan Cavanaugh
613430		304108		Tom Wadley
1252759		1303256		Jon Clements
265143		97818		P&#233;ter T&#246;r&#246;k
1317805		1385695		James Donnelly
1196		912		aku
27862		13777		user123444555621
1838509		2062218		agstudy
48523		20341		Andrew
2313887		2677968		Neil Lunn
1932150		2183118		Andy Prowl
3146		2273		1800 INFORMATION
403671		174359		Simon Mourier
839646		446547		Ryan Stewart
3574081		4382979		mrry
511529		240984		GolezTrol
49153		20530		Click Upvote
78845		29240		Johnsyweb
623041		310184		eggyal
24587		12480		Georg Sch&#246;lly
80274		29643		Scott Chamberlain
414076		180632		Anthony Pegram
257182		94135		RobG
135566		45927		Devart
478399		220789		AlexR
388520		165234		zwol
1285133		1344060		rdelmar
451475		203680		zaph
1630618		1789974		vacawama
283366		106364		Phil
251153		91491		zneak
38206		17179		Brian Rasmussen
168657		56304		mob
119280		41067		DVK
1009479		992647		Yu Hao
669586		339866		Sulthan
198707		68016		Tatu Ulmanen
49485		20630		Sophie Alpert
33006		15562		Martin v. L&#246;wis
15541		8588		leppie
419		335		Kev
39677		17640		Blankman
2767755		1979871		Arup Rakshit
191596		65015		justin
379693		142343		Paresh Mayani
63051		24717		flybywire
221700		77745		peterSO
84889		31011		Peter Niederwieser
179850		60171		Gray
1695960		1874453		Robert Crovella
60711		23998		vartec
135786		46002		Ben Lesh
302677		115236		Rachel
56541		22779		David Z
1942		1456		kemiller2002
1906307		2078887		Louis
372643		155770		Bruno
105224		36858		Andreas_D
3522312		4311362		scaisEdge
234938		83913		Christopher Orr
86989		31622		newacct
1393766		1485367		Pshemo
12579		7277		Diodeus - James MacFarlane
1227923		1271849		Alexey Mezenin
15245		8452		Ryan Bigg
105570		36964		Dan Tao
235698		84277		Mark Tolonen
304		246		McDowell
250260		91056		Elenasys
45433		19390		Crescent Fresh
12030		7039		Nick Johnson
219661		76830		Jamiec
4342498		5460139		NathanOliver
13663		7795		Will Hartung
27423		13590		Daniel Earwicker
344949		139391		ypercubeᵀᴹ
932418		237153		L.B
89266		32251		dfa
905		689		Keith
8815		5471		Peter Bailey
101258		35717		Justin Ethier
874188		468289		tripleee
15031		8358		Jonathan Lonowski
2586922		3052665		Luis Mendo
577088		281021		senderle
559784		270065		Arun
20394		10730		Mike Samuel
1531124		1663234		GhostCat
305644		116580		hvgotcodes
207248		71658		SiegeX
205185		70895		Duncan C
17624		9516		Thomas Wouters
469935		215339		Armen Tsirunyan
21926		11386		Sean Bright
1695906		1845098		Michael - sqlbot
641955		322516		janos
29995		14531		Rob Hruska
13792		7848		ColinD
305		247		Mark Biek
390278		166270		Jeff Mercado
74118		27918		nevan king
74314		27987		Haim Evgi
39933		17710		genehack
427332		188561		Tommy
3309790		4018602		songyuanyao
4851590		6236435		Scott Craner
1686485		1862086		tymeJV
9515207		13173718		CertainPerformance
21677		11277		James
1385941		1475459		mnel
16102		8847		Cat Plus Plus
3730754		4599643		LoicTheAztec
35092		16216		Charlie Martin
846273		450771		Gabriele Petronella
280244		104911		Ralph
119527		41153		Jonathon Reinhart
31582		15112		Gareth
60188		23860		Anton Gogolev
400547		172481		Jon Hanna
548696		263253		Tadeck
2836621		3379153		Mark Setchell
370305		154393		user370305
1172002		1201401		Lars Kotthoff
11236		6636		ripper234
91914		32979		gnarf
66692		25824		dirkgently
25449		12822		Tsvetomir Tsonev
1743880		1936546		Tunaki
18180		9772		troelskn
64004		25014		gahooa
14660		8210		Schwern
95382		33932		Michael Krelin - hacker
1093528		1101161		fge
273200		101585		Bala R
9493		5792		Brian
5928186		7841989		Shubham Khatri
141555		47755		sberry
214090		74526		hallski
412770		179844		Ani
1098851		1107812		fcalderan
53212		21777		thomasrutter
2670892		3159259		greg-449
16363		8962		Mark
850848		453710		Martin Prikryl
17174		9321		Sam Saffron
613130		303914		xanatos
445517		199923		CodesInChaos
67392		26013		Richard
298575		113356		Romain Guy
44853		19220		lc.
27439		13598		Vincent Ramdhanie
4482		3151		Ben Hoffstein
23649		12095		jtbandes
1136211		1155468		Clemens
40005		17732		Ayman Hourieh
295783		112084		mplungjan
104184		36515		Sasha Chedygov
445131		199671		Eric Leschinski
377270		158544		sarnold
412080		179420		Maxim Egorushkin
30461		14690		Peter Hosey
89806		32380		marcog
142434		48015		Stephen Canon
489564		227725		RNA
13913		7901		Patrick Desjardins
24054		12262		kgiannakakis
822		629		Reto Meier
241631		87042		Praetorian
8155		5156		Amy B
478884		221091		Tim Williams
150634		50493		Joseph Mansfield
298053		113091		Brad Christie
1903366		2145714		lukasgeiter
9833		5959		Shay Levy
575527		280047		Joseph
21239		11091		Mauricio Scheffer
573261		278600		RichardTheKiwi
14357		8089		spender
1209279		354053		Levon
320726		125141		6502
267887		99110		Yuji &#39;Tomita&#39; Tomita
9360		5714		Peter Boughton
214010		74486		mikera
189179		64005		Ben James
77335		28833		HansUp
1001985		982657		McGarnagle
1864976		75786		Adam Dymitruk
131368		44712		ChssPly76
2455888		2860523		haccks
440119		196596		Benjamin Lindley
368630		153395		David W.
9410		5739		Aristotle Pagaltzis
213464		74258		YOU
12725		7342		James Curran
400654		172549		Kevin B
398968		171501		Katriel
15861		8725		BFree
3037257		3643696		Pranav C Balan
251738		91739		Mark B
7252182		9785813		mm8
234		190		Orion Edwards
107744		37665		spencer7593
350858		142877		Sudhir Bastakoti
111335		38725		Pavel Minaev
1450		1092		John Topley
244297		88287		Eugene Yarmash
597657		294022		Eng.Fouad
477420		220160		Alexei Levenkov
45664		19462		Andrzej Doyle
2079303		2375956		eerorika
1659		1248		Mark Cidade
2235132		2577836		devnull
218589		76326		Klaus Byskov Pedersen
189205		64020		interjay
2548		1851		Fionnuala
1219006		1260626		jamylak
3010968		3579893		Selman Gen&#231;
25324		12776		pmg
410767		178655		Tony Delroy
2611		1895		ars
918959		556766		Antti Haapala
2410359		2802349		chux
6461		4331		splattne
8954		5533		Tamas Czinege
168225		56167		Georg Fritzsche
3250829		3933264		rayryeng
85134		31084		araqnid
35364		16316		hasen
25222		12732		Robert Gamble
457406		207503		Matthias Bauch
142822		48120		adatapost
8435		5293		Tom Ritter
3788176		162699		Andy Turner
2402272		2792262		John Bollinger
157237		52614		Peter
4833		3352		VolkerK
15537		8586		Matthew Scharley
1240763		1288095		Gary Russell
236398		84612		hackbod
65223		25386		KM.
134554		45619		John Bode
98607		34869		Martin Liversage
2035262		2318915		Aleksei Matiushkin
385378		163317		NikiC
710446		365493		apsillers
2308683		2671330		cricket_007
1441122		1548079		Stuart Marks
59501		23674		StaxMan
594235		291839		Sparky
314291		121293		StuartLC
1139697		1159964		Zeta
42139		18408		jeroen
411591		179140		markE
1079354		1082858		Makoto
33686		15770		e.James
1267329		1321622		Simeon Visser
398242		171070		Wesley Murch
138304		46788		Sam Harwell
16406		8978		Chris Dodd
6622587		8708296		eyllanesc
5070879		6559132		Lukasz Szozda
4872		3378		Ray Vega
284795		107038		Colonel Panic
1850609		2077773		acdcjunior
703717		361247		Danield
3923281		1556429		Alex Riley
885318		475155		i3arnon
428790		189452		Joris Meys
241536		86993		John Dibling
21632		11258		Adam Bellaire
546661		262054		Peter Olson
74757		28117		Cᴏʀʏ
58186		23274		KooiInc
70386		26894		jgauffin
81179		29910		ChristopheD
2231815		2573628		rakib_
127724		43656		Artefacto
2119		1582		Can Berk G&#252;der
48492		20332		Steve Harrison
447156		200982		Soner G&#246;n&#252;l
120163		41366		Ira Baxter
2214		1645		Matthew Crumley
114029		39521		Leniel Maccaferri
493939		230367		Luksprog
981049		955705		Michael Dautermann
1353011		1430494		Musa
10897		6474		Martin Beckett
4086		2882		Ferruccio
134830		45700		Richie Cotton
40655		17933		Robin Day
9034		5566		HLGEM
4639		3237		Edward Tanguay
61164		24130		Erik Funkenbusch
97828		34591		Nadia Alramli
2830850		3371794		Tarun Lalwani
211563		73470		Andrew Marshall
16632		9084		hadley
15809		8706		Mecki
3545273		4342327		Serge Ballesta
421195		184870		paulsm4
106205		37167		ralphtheninja
745903		387513		leftaroundabout
1226894		1270473		Baba
807126		426109		Doug Stevenson
6694		4448		Ben Gottlieb
644898		324366		Jeff
5157454		6686335		Ori Drori
3191		2298		Domenic
80860		29826		kennebec
372		298		Jon Limjap
861716		460548		Gert Arnold
2867928		2444936		Kasr&#226;mvd
2509		1827		dmckee
650405		327820		Karoly Horvath
714969		368269		Kevin Bowersox
201078		69026		Gone Coding
10320		6192		dreamlax
58803		23456		lhunath
17279		9373		zoul
3001626		3597339		David Arenburg
2603		1889		Aaron Maenpaa
163053		54503		Shane
298225		113187		Eric Postpischil
2144390		2460030		Gord Thompson
1461008		1574011		WestLangley
597607		293987		Bo Persson
17389		9417		ysth
131433		44736		bmargulies
5221149		6780825		Andreas
1038015		1029387		Robert Longson
3001761		3597514		jonrsharpe
123111		42269		Kirill V. Lyadvinsky
984823		960307		Joop Eggen
20128		10611		serg
4952130		6383531		Jim Fasarakis Hilliard
3785314		4674495		Programmer
8620333		11780569		Temani Afif
342235		137777		Freewind
984421		959813		ekhumoro
259769		95372		Enigmativity
121493		41780		Donut
75642		28335		Robert Koritnik
59111		23558		Ahmad Mageed
318758		123958		Joni
95612		33994		Jochen Ritzel
136540		46249		Michael Aaron Safyan
1229023		1273208		raina77ow
3063910		3678372		Rich Scriven
1267661		1322038		Sam
20972		10974		Dominic Rodger
10263		6164		Brian Rogers
5393381		7040846		MSeifert
400056		172189		DarkDust
24995		12633		Dave Markle
3030305		3634993		John1024
81205		29918		zombat
1950		1461		Jon Erickson
1945651		2201325		JLRishe
2424		1771		NotMe
567751		275097		sandeep
370103		154284		Curt
71522		27199		David Wolever
477037		658903		Stefan
27009		13441		Kornel
405143		175253		David Tang
248432		90221		Peter Knego
1426065		1528147		MattDMo
2255089		2603307		Casimir et Hippolyte
26210		13140		Andrew Moore
4120		2908		Grundlefleck
29		21		Michael Haren
859154		458956		Royi Namir
99834		35261		sorin
179125		59908		Jordan Running
3016153		3616427		michael.hor257k
2199		1637		Mark Brackett
3349551		4078567		Pரதீப்
